,conversation_id_str,created_at,favorite_count,full_text,id_str,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,translated_text
10,1.8161e+18,Wed Jul 24 13:08:36 +0000 2024,1801,Is it Nana as in narcissism I was always Nana Na Jaemin,1.8161e+18,en,9,1,585,https://x.com/seimeizu/status/1816098157820010514,1503820092.0,seimeizu,Is it Nana as in narcissism I was always Nana Na Jaemin
11,1.81594e+18,Wed Jul 24 02:55:27 +0000 2024,433,Snackpaper Jaemin Q A Full Trans If I could describe myself at this stage of my life with an adjective I think it would be The most shining moment,1.81594e+18,en,24,1,359,https://x.com/hueofserenity/status/1815943852236366250,540700934.0,hueofserenity,Snackpaper Jaemin Q A Full Trans If I could describe myself at this stage of my life with an adjective I think it would be The most shining moment
12,1.81614e+18,Wed Jul 24 15:56:32 +0000 2024,10,🇮🇩 INA G O nct dream jaemin itzavibe narcissism e hibition goods 260k 1140k jakarta j t shopee bca dana jenius mandiri qris incl packing fee close july 27th @ 4pm est ems ta dp pricelist details how to order ⬇,1.81614e+18,en,2,1,1,https://x.com/dalbitdotco/status/1816140416649158974,1.17864e+18,dalbitdotco,🇮🇩 INA G O nct dream jaemin itzavibe narcissism e hibition goods 260k 1140k jakarta j t shopee bca dana jenius mandiri qris incl packing fee close july 27th @ 4pm est ems ta dp pricelist details how to order ⬇
13,1.81606e+18,Wed Jul 24 10:32:57 +0000 2024,13,Rt สุ่มแจก 1 เล่ม Preorder รอบ event narcissism magazine ver 583฿ เก็บรอบเดียว ส่งฟรี มัดจำ 300 นัดรับ ปณ สนใจสั่งซื้อทาง dmค่ะ สินค้าเป็นพรีออเดอร์นะคะ ได้ของช่วงเดือน 11,1.81606e+18,th,1,0,106,https://x.com/myppyr/status/1816058986954907926,1.57737e+18,myppyr,Rt randomly gives away 1 book. Preorder around the event narcissism magazine ver 583฿. Collect one round. Free shipping. Deposit 300. Make an appointment to pick up at the post office. Interested in ordering via dm? The product is a pre-order. Got the item during the 11th month.
14,1.81591e+18,Wed Jul 24 00:47:50 +0000 2024,40,Day 26 wow so gakkawo NARCISSISM BY NA JAEMIN,1.81591e+18,tl,0,6,55,https://x.com/jjineffable/status/1815911736165466541,1.04893e+18,jjineffable,Day 26 wow so gakkawo NARCISSISM BY NA JAEMIN
15,1.81605e+18,Wed Jul 24 09:37:58 +0000 2024,8,7DREAM LP POSTER SET,1.81605e+18,en,0,0,2,https://x.com/jaemjenjjwi/status/1816045146812866941,1.35553e+18,jaemjenjjwi,7DREAM LP POSTER SET
16,1.81591e+18,Wed Jul 24 00:26:39 +0000 2024,360,Snackpaper Jaemin Q A If the sharing cookies are magical what type of interesting magic do you believe will occur when you eat them I wish I could have the ability to communicate with cats,1.81591e+18,en,42,0,289,https://x.com/hueofserenity/status/1815906406249423278,540700934.0,hueofserenity,Snackpaper Jaemin Q A If the sharing cookies are magical what type of interesting magic do you believe will occur when you eat them I wish I could have the ability to communicate with cats
17,1.81594e+18,Wed Jul 24 02:42:30 +0000 2024,390,วิธีที่จะทำให้แมวตัวนี้หายงอน ข้อที่ 1 รีทวิต ข้อที่ 2 เมนชั่นแท็ก ข้อที่ 3 ชมว่าเค้าเก่งมาก NARCISSISM BY NA JAEMIN,1.81594e+18,th,2,238,1035,https://x.com/g_eneglaer/status/1815940592062587258,3325143385.0,g_eneglaer,Ways to make this cat stop being angry. Point 1. Retweet. Point 2. Comment tag. Point 3. Compliment that he is very talented. NARCISSISM BY NA JAEMIN
18,1.81609e+18,Wed Jul 24 12:23:44 +0000 2024,2,เปิดหาร LP POSTER SET แฮชาน ว่างรูป 1 5 รูปละ 110 ซื้อทั้ง2รูปแถมเบอร์6 ค่าส่งเหมา 50 ของจะมาถึงเรา26นี้ค่ะ แฮชาน haechan,1.81609e+18,th,0,4,0,https://x.com/LTanyalak/status/1816086866783031600,3143237864.0,LTanyalak,"Open to divide LP POSTER SET Haechan, 1 picture available, 5 pictures for 110 each. Buy both pictures and get number 6 free. Shipping fee is 50 baht. Items will arrive on 26th. Haechan haechan"
19,1.8159e+18,Wed Jul 24 00:16:39 +0000 2024,0,อีกไม่กี่วัน ก็เข้าสู่ช่วงสุดท้ายนิทรรศกาลของแจมินแล้ว ขอบคุณที่มาขยายเวลาเพื่อใครหลายคนนะคะ แถมยังมี รอบ 2 รวมถึง events ด้วย แจมินเก่งมาก ๆ พวกเรานาดุ๋งมาช่วยกันติด ก่อนนะคะ NARCISSISM BY NA JAEMIN,1.8159e+18,th,0,0,0,https://x.com/f03p18/status/1815903886907228328,1.71535e+18,f03p18,"In just a few days, it will be the final part of Jaemin's exhibition. Thank you for extending the time for so many people. There is also round 2 and events. Jaemin is very talented. We Nadung came to help each other first. NARCISSISM BY NA JAEMIN"
20,1.8159e+18,Wed Jul 24 00:08:33 +0000 2024,2,Day26 แปปป แล้ว คนเก่งของพวกเคร นานะดุงงี่ส่งกำลังใจให้นับถอยหลัง d 7 งานนิทรรศการของแจมินครั้งแรกจะจบแล้ว ขอให้มีคนรักคนหลงอีกเยอะ เอสเอ้มทีม4 จงรักแจมเยอะๆๆๆค๊าา NARCISSISM BY NA JAEMIN,1.8159e+18,th,0,0,10,https://x.com/NanaJMrabbit/status/1815901849729577389,1.42931e+18,NanaJMrabbit,"Day26 just now, the smart guy of the group Nana Dungee gives encouragement as countdown d 7 Jaemin's first exhibition is about to end. May there be many more lovers and lost people. SM Team 4, love Jam a lot. NARCISSISM BY NA JAEMIN"
21,1.81591e+18,Wed Jul 24 00:23:15 +0000 2024,287,Snackpaper Jaemin Q A One meaning of sharing cookies is to make a promise to the individual who breaks the cookie with you If you were given a sharing cookies right now who would you choose to break it with And what kind of promise would you like to make I want,1.81591e+18,en,36,0,224,https://x.com/hueofserenity/status/1815905549105651813,540700934.0,hueofserenity,Snackpaper Jaemin Q A One meaning of sharing cookies is to make a promise to the individual who breaks the cookie with you If you were given a sharing cookies right now who would you choose to break it with And what kind of promise would you like to make I want
22,1.8159e+18,Wed Jul 24 00:19:18 +0000 2024,440,Snackpaper Jaemin Q A How would you define your ideal future life My ideal life scenario is living peacefully and happily with my family This is my ultimate objective and the perfect life I pursue,1.8159e+18,en,66,1,245,https://x.com/hueofserenity/status/1815904554912715079,540700934.0,hueofserenity,Snackpaper Jaemin Q A How would you define your ideal future life My ideal life scenario is living peacefully and happily with my family This is my ultimate objective and the perfect life I pursue
23,1.81591e+18,Wed Jul 24 00:25:52 +0000 2024,15,too slow too fast 속도 control NARCISSISM BY NA JAEMIN,1.81591e+18,en,0,0,38,https://x.com/merrycadillac/status/1815906208819146777,8.66538e+17,merrycadillac,too slow too fast 속도 control NARCISSISM BY NA JAEMIN
24,1.8159e+18,Wed Jul 24 00:11:05 +0000 2024,359,26 days together with narcissism NARCISSISM BY NA JAEMIN,1.8159e+18,en,2,186,332,https://x.com/hourlyjaeminn/status/1815902489524474292,1.54612e+18,hourlyjaeminn,26 days together with narcissism NARCISSISM BY NA JAEMIN
25,1.8159e+18,Wed Jul 24 00:16:18 +0000 2024,0,Day26 NARCISSISM BY NA JAEMIN,1.8159e+18,tl,0,0,0,https://x.com/JunielDaniell/status/1815903801351758024,7.04953e+17,JunielDaniell,Day26 NARCISSISM BY NA JAEMIN
26,1.81591e+18,Wed Jul 24 00:25:33 +0000 2024,0,Day 26 with NARCISSISM NARCISSISM BY NA JAEMIN,1.81591e+18,en,0,6,1,https://x.com/813jminee/status/1815906129588961675,1.6628e+18,813jminee,Day 26 with NARCISSISM NARCISSISM BY NA JAEMIN
27,1.81591e+18,Wed Jul 24 00:24:47 +0000 2024,1,엔시티 드림 재민 나르시시즘 전시회 티켓 양도 ⭕ SELL⭕ 예스24 글로벌 티켓 yes24 global ticket 가격 사진참고 아옮 실패시 환불 아옮 업체 알아오셔야돼요 예스24 글로벌 예사 wts nct dream jaemin narcissism sell eng 예매 20 21 22 23 24 25 26 27 28 29 30 31,1.81591e+18,ko,0,0,0,https://x.com/kwangyyaaa_/status/1815905934906122511,1.61117e+18,kwangyyaaa_,NCT Dream Jaemin Narcissism Exhibition Ticket Transfer ⭕ SELL⭕ Yes24 Global Ticket Yes24 Global Ticket Price Refer to photo Refund in case of failure You need to know the company Yes24 Global Yesa wts nct dream jaemin narcissism sell eng Reservation 20 21 22 23 24 25 26 27 28 29 30 31
28,1.8159e+18,Wed Jul 24 00:00:12 +0000 2024,0,DAY 25 with NARCISSISM NARCISSISM BY NA JAEMIN,1.8159e+18,en,0,2,0,https://x.com/813nanaa/status/1815899748282589387,1.37762e+18,813nanaa,DAY 25 with NARCISSISM NARCISSISM BY NA JAEMIN
29,1.8159e+18,Wed Jul 24 00:15:26 +0000 2024,7,DAY 26 นิทรรศการวันที่ 26 แล้ว ขอให้ทุกอย่างราบรื่นตลอดทั้งวัน have a good day NARCISSISM BY NA JAEMIN,1.8159e+18,und,0,6,27,https://x.com/beembaebae/status/1815903584015491187,1.68643e+18,beembaebae,DAY 26 The exhibition is on the 26th. May everything go smoothly throughout the day. Have a good day NARCISSISM BY NA JAEMIN
30,1.81591e+18,Wed Jul 24 00:22:39 +0000 2024,0,D26ขอให้เป็นวันที่ดีน้าของแจมและของทุกคนนะค้า love jae to the min and back NARCISSISM BY NA JAEMIN,1.81591e+18,und,0,0,0,https://x.com/pisahappybaby/status/1815905396676334014,1679962825.0,pisahappybaby,D26 May it be a good day for Uncle Jam and everyone. love jae to the min and back NARCISSISM BY NA JAEMIN
31,1.8159e+18,Wed Jul 24 00:20:18 +0000 2024,0,26 days together with narcissism NARCISSISM BY NA JAEMIN,1.8159e+18,en,0,4,0,https://x.com/skytreess_/status/1815904806789140635,1.69328e+18,skytreess_,26 days together with narcissism NARCISSISM BY NA JAEMIN
32,1.8159e+18,Wed Jul 24 00:06:16 +0000 2024,0,DAY 26 NARCISSISM BY NA JAEMIN,1.8159e+18,tl,0,0,0,https://x.com/pinkiijaem/status/1815901275378286947,1.42782e+18,pinkiijaem,DAY 26 NARCISSISM BY NA JAEMIN
33,1.8159e+18,Wed Jul 24 00:06:53 +0000 2024,0,DAY 25 with NARCISSISM NARCISSISM BY NA JAEMIN,1.8159e+18,en,0,2,0,https://x.com/jnyupies/status/1815901431632912704,1.59796e+18,jnyupies,DAY 25 with NARCISSISM NARCISSISM BY NA JAEMIN
34,1.8159e+18,Wed Jul 24 00:03:21 +0000 2024,4,Day 26 with NARCISSISM PHOTOGRAPHER JAEMIN 1ST EXHIBITION,1.8159e+18,en,0,7,0,https://x.com/thIsYelln/status/1815900539785470199,1.32137e+18,thIsYelln,Day 26 with NARCISSISM PHOTOGRAPHER JAEMIN 1ST EXHIBITION
35,1.8159e+18,Wed Jul 24 00:04:32 +0000 2024,0,ˋˏ ༻DAY 26༺ ˎˊ NARCISSISM BY NA JAEMIN,1.8159e+18,et,0,3,0,https://x.com/_dearbunny_/status/1815900837593637103,1.2559e+18,_dearbunny_,ˋˏ ༻DAY 26༺ ˎˊ NARCISSISM BY NA JAEMIN
36,1.81591e+18,Wed Jul 24 00:24:20 +0000 2024,0,DAY 26 with NARCISSISM PHOTOGRAPHER JAEMIN 1ST EXHIBITION,1.81591e+18,en,0,0,0,https://x.com/Yagami_Reni/status/1815905821374771485,363744858.0,Yagami_Reni,DAY 26 with NARCISSISM PHOTOGRAPHER JAEMIN 1ST EXHIBITION
37,1.8159e+18,Wed Jul 24 00:04:35 +0000 2024,0,OPEN PRE ORDER 2ND MD OFFICIAL NCT JAEMIN 1ST PHOTO EXHIBITON NARCISSISM [HANDCARRY] Cloud dreams string back 580k dp 450k est berat 150gr T shirt star cat saying i love me 675k dp 500k est berat 300gr Hoodie i love me 1 130 000 dp 800k est berat 860gr,1.8159e+18,en,0,1,1,https://x.com/aicecreamii/status/1815900852910956580,1.51117e+18,aicecreamii,OPEN PRE ORDER 2ND MD OFFICIAL NCT JAEMIN 1ST PHOTO EXHIBITON NARCISSISM [HANDCARRY] Cloud dreams string back 580k dp 450k est berat 150gr T shirt star cat saying i love me 675k dp 500k est berat 300gr Hoodie i love me 1 130 000 dp 800k est berat 860gr
38,1.81591e+18,Wed Jul 24 00:21:25 +0000 2024,1,วันนี้ก็ขอให้เป็นวันที่ดีสำหรับทุกคนนะคะ ละก็คุณช่างภาพคนเก่งของเรามีความสุขมาก ๆ น้า NARCISSISM BY NA JAEMIN,1.81591e+18,th,0,1,1,https://x.com/khunfanJamJam/status/1815905089871306892,7.12469e+17,khunfanJamJam,"Today is a good day for everyone. And our talented photographer is very happy, NARCISSISM BY NA JAEMIN."
39,1.81697e+18,Fri Jul 26 22:57:41 +0000 2024,2178,D 1 ITZAVIBE meets JAEMIN of NCT for a special collaboration ITZAVIBE collaborates with JAEMIN of NCT for his debut photo e hibition NARCISSISM JAEMIN through which he reveals the past 7 years of observations and recordings since 2018 You should always put yourself,1.81697e+18,en,48,30,1406,https://x.com/ITZAVIBE_kr/status/1816971178927608143,1.56297e+18,ITZAVIBE_kr,D 1 ITZAVIBE meets JAEMIN of NCT for a special collaboration ITZAVIBE collaborates with JAEMIN of NCT for his debut photo e hibition NARCISSISM JAEMIN through which he reveals the past 7 years of observations and recordings since 2018 You should always put yourself
40,1.81676e+18,Fri Jul 26 09:17:29 +0000 2024,2473,nct 2nd event artist talk narcissism with jaemin diadain di SHILLA seoul hotel bintang 5 BUDGET GAK KALENG KALENG,1.81676e+18,in,114,84,387,https://x.com/nct_menfess/status/1816764769908719743,1.27501e+18,nct_menfess,nct 2nd event artist talk narcissism with jaemin held at SHILLA seoul 5 star hotel BUDGET CANNOT CANNED
41,1.81676e+18,Fri Jul 26 09:18:04 +0000 2024,2602,artist talk narcissism yg ke 2 sama jaemin nanti diadain di SHILLA SEOUL guys hotel bintang 5 KEREN BGT JAEMIN,1.81676e+18,in,204,93,607,https://x.com/NCTDreamINA/status/1816764917074256079,1.25546e+18,NCTDreamINA,The second Narcissism artist talk with Jaemin will be held at SHILLA SEOUL guys 5 star hotel SO COOL JAEMIN
42,1.81687e+18,Fri Jul 26 16:28:33 +0000 2024,1374,NARCISSISM BY NA JAEMIN,1.81687e+18,tl,1,0,534,https://x.com/01pdkj/status/1816873248732381545,1.4084e+18,01pdkj,NARCISSISM BY NA JAEMIN
43,1.81677e+18,Fri Jul 26 09:48:33 +0000 2024,113,⊹ ೃ° 𖤐 special thanks to jaemin for the best photobook ever 𖤐,1.81677e+18,en,2,23,17,https://x.com/samoyeddjn/status/1816772586015187360,1.44642e+18,samoyeddjn,⊹ ೃ° 𖤐 special thanks to jaemin for the best photobook ever 𖤐
44,1.81665e+18,Fri Jul 26 01:48:27 +0000 2024,594,28th day already let s continue to suprt narcissism by jaemin NARCISSISM BY NA JAEMIN,1.81665e+18,en,1,228,363,https://x.com/archivesnjm/status/1816651765141635280,1.45323e+18,archivesnjm,28th day already let s continue to suprt narcissism by jaemin NARCISSISM BY NA JAEMIN
45,1.81672e+18,Fri Jul 26 06:02:41 +0000 2024,0,DAY 28 NARCISSISM NARCISSISM BY NA JAEMIN,1.81672e+18,tl,0,0,0,https://x.com/usahananaa/status/1816715748179583403,1.29376e+18,usahananaa,DAY 28 NARCISSISM NARCISSISM BY NA JAEMIN
46,1.81664e+18,Fri Jul 26 00:59:26 +0000 2024,678,day 28 narcissism by photographer jaemin kajja NARCISSISM BY NA JAEMIN,1.81664e+18,et,2,140,322,https://x.com/jungshasa/status/1816639429806817719,1.30762e+18,jungshasa,day 28 narcissism by photographer jaemin kajja NARCISSISM BY NA JAEMIN
47,1.81685e+18,Fri Jul 26 15:08:58 +0000 2024,6,NARCISSISM Jaemin 1st photo e hibition,1.81685e+18,en,0,1,0,https://x.com/hyuneeeis/status/1816853224328167717,8.60762e+17,hyuneeeis,NARCISSISM Jaemin 1st photo exhibition
48,1.81668e+18,Fri Jul 26 03:54:09 +0000 2024,8,เดี๋ยวฟ้ามาปล่อย NARCISSISM Photobook magazine ver รอบ event น้า มี 6 เล่มเท่านั้น ราคา 550 บาท ค่าส่งเก็บตอนของถึงไทย สนใจปักหมุดไว้ได้ เย็นๆ มาลงฟอร์มค่า,1.81668e+18,th,1,0,10,https://x.com/ffahjjh/status/1816683397697167625,352073461.0,ffahjjh,"Soon heaven will release NARCISSISM Photobook magazine ver around the event. There are only 6 volumes. Price 550 baht. Shipping fee is collected when it arrives in Thailand. If interested, you can pin it. Cool, come and post in the form."
49,1.8168e+18,Fri Jul 26 11:26:26 +0000 2024,15,,1.8168e+18,qme,0,0,3,https://x.com/mydearjaemin/status/1816797221284905340,1.40915e+18,mydearjaemin,
50,1.81698e+18,Fri Jul 26 23:38:10 +0000 2024,8,DAY 29 NARCISSISM NARCISSISM BY NA JAEMIN,1.81698e+18,tl,0,20,2,https://x.com/cloudiewaa_/status/1816981367512793194,1.60788e+18,cloudiewaa_,DAY 29 NARCISSISM NARCISSISM BY NA JAEMIN
51,1.8168e+18,Fri Jul 26 11:19:28 +0000 2024,4,SELL ALL 1 7 개별 구매 가능 NCT 엔시티 127 일이칠 드림 DREAM 포토카드 포카 양도 교환 삐그덕 walk 드림쇼 dreamshow pc photocard mark jeno johnny renjun jisung haechan chenle fanmeeting narcissism jaemin photobook dcast crew ster smini jaehyum doyoung 마크 해찬,1.8168e+18,ko,1,2,0,https://x.com/yangdoangel1004/status/1816795467306467503,1.48913e+18,yangdoangel1004,SELL ALL 1 7 Available for individual purchase NCT NCT 127 127 Dream DREAM photo card Poca transfer exchange squeak walk dream show dreamshow pc photocard mark jeno johnny renjun jisung haechan chenle fanmeeting narcissism jaemin photobook dcast crew ster smini jaehyum doyoung mark haechan
52,1.81668e+18,Fri Jul 26 03:49:11 +0000 2024,368,จริงๆสปอยล์ชื่องานตั้งแต่เดือน 3 พูดกันเรื่องเจ้าตัวชอบถ่ายรูปตัวเองแล้วเอาไปแต่งไปตุ๊งรูป เป็นคนรักตัวเองมากเลยสินะครับ เป็น Narcissism ครับ เริ่ดดดดดแอบโปรโมทชื่องานผ่านช่องดัง แต่เส้นมันดันไม่เอะใจ5555 NARCISSISM BY NA JAEMIN,1.81668e+18,th,0,13,1098,https://x.com/g_eneglaer/status/1816682150089130386,3325143385.0,g_eneglaer,Actually spoiling the name of the event from the 3rd month. Talk about the person who likes to take pictures of himself and then edit them to make pictures. I'm a person who loves myself very much. It's Narcissism. It's great. I secretly promote my work name through famous channels. But I don't care about the lines. Haha. NARCISSISM BY NA JAEMIN
53,1.81672e+18,Fri Jul 26 06:07:44 +0000 2024,0,Day 28 with NARCISSISM NARCISSISM BY NA JAEMIN,1.81672e+18,en,0,0,0,https://x.com/jaemeericano/status/1816717016788848758,1.08245e+18,jaemeericano,Day 28 with NARCISSISM NARCISSISM BY NA JAEMIN
54,1.81679e+18,Fri Jul 26 10:39:09 +0000 2024,2,wts lfb ph jaemin narcissism zip up hoodie set ₱4 300 dop prio payo | 1 month with dp can meetup on tds3 nct dream mark renjun jeno haechan jaemin chenle jisung,1.81679e+18,en,2,5,4,https://x.com/518drmies/status/1816785320366797058,1.32559e+18,518drmies,wts lfb ph jaemin narcissism zip up hoodie set ₱4 300 dop prio payo | 1 month with dp can meetup on tds3 nct dream mark renjun jeno haechan jaemin chenle jisung
55,1.81679e+18,Fri Jul 26 10:53:51 +0000 2024,10,Rt likes are appreciated OPEN PRE ORDER NA JAEMIN HAECHAN BIRTHDAY KIT by 26 july 11 aug 2024 Pelunasan via More detail didalam link Dp E wallet Bri Bca Medan Dek,1.81679e+18,en,1,2,8,https://x.com/svakuya/status/1816789021000876162,1319813354.0,svakuya,Rt likes are appreciated OPEN PRE ORDER NA JAEMIN HAECHAN BIRTHDAY KIT by 26 july 11 aug 2024 Pelunasan via More detail didalam link Dp E wallet Bri Bca Medan Dek
56,1.81683e+18,Fri Jul 26 13:27:14 +0000 2024,13,look at jaemin s back sture he s so good at this,1.81683e+18,en,1,0,3,https://x.com/theshims/status/1816827620908236856,183792283.0,theshims,look at jaemin s back sture he s so good at this
57,1.81667e+18,Fri Jul 26 03:16:05 +0000 2024,176,1 reply for day 28 3 พิ้งกี้ยืนเท่เท่าพี่แจมยังคะ ₍ ₎ มาเป็นกำลังใจให้คุณช่างภาพแจมินคนเก่งกันอีกวันน้า NARCISSISM BY NA JAEMIN,1.81667e+18,th,0,246,850,https://x.com/mcdtournesol/status/1816673818766983250,595455100.0,mcdtournesol,"1 reply for day 28 3 Pinky, still standing as cool as Pee Jam? ₍ ₎ Let's come and support the talented photographer Jaemin one more day, NARCISSISM BY NA JAEMIN."
58,1.81663e+18,Fri Jul 26 00:39:17 +0000 2024,1,freebies narcissism set nya cakep bangett thankyou ka for suprt jaemin and narcissism,1.81663e+18,en,0,1,1,https://x.com/najaeminisna/status/1816634360352899432,1.15344e+18,najaeminisna,freebies narcissism set nya cakep bangett thankyou ka for support jaemin and narcissism
59,1.81663e+18,Fri Jul 26 00:35:05 +0000 2024,0,day 28 NARCISSISM BY NA JAEMIN,1.81663e+18,tl,0,0,0,https://x.com/najaeminisna/status/1816633303216374259,1.15344e+18,najaeminisna,day 28 NARCISSISM BY NA JAEMIN
60,1.81663e+18,Fri Jul 26 00:03:01 +0000 2024,0,PHOTOGRAPHER JAEMIN 1ST EXHIBITION,1.81663e+18,en,0,0,0,https://x.com/138MHz/status/1816625231806841326,1.48837e+18,138MHz,PHOTOGRAPHER JAEMIN 1ST EXHIBITION
61,1.81663e+18,Fri Jul 26 00:26:10 +0000 2024,440,Day 28 with NARCISSISM NARCISSISM BY NA JAEMIN,1.81663e+18,en,0,198,320,https://x.com/hourlyjaeminn/status/1816631059519582462,1.54612e+18,hourlyjaeminn,Day 28 with NARCISSISM NARCISSISM BY NA JAEMIN
62,1.81663e+18,Fri Jul 26 00:34:35 +0000 2024,0,ปล่อยบัตรนิทรรศการใันที่ 28 7 รอบ 12 00 ค่ะ ปล่อยเพราะไม่ได้บินแล้ว ช่วยหาร้านทรานให้ dmสอบถามได้ค่ะ,1.81663e+18,th,0,0,0,https://x.com/jnreview/status/1816633176636424585,1.11481e+18,jnreview,Exhibition tickets will be released on the 28th 7 rounds at 12 00. Released because I am no longer flying. Please help me find a Tran store. You can inquire via dm.
