ID,conversation_id_str,created_at,favorite_count,full_text,id_str,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,translated_text,sentiment
11,1.80E+18,Mon Jun 17 06:02:06 +0000 2024,3,สวยทุกอัน JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,en,0,0,0,https://x.com/ibbamxx_/status/1802582472682856816,202123164,ibbamxx_,Every one is beautiful. JAEMIN 1ST PHOTO EXHIBITION,Positive
12,1.80E+18,Sun Jun 16 06:01:00 +0000 2024,26313,NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam,1.80E+18,en,618,837,19171,https://x.com/NA_RCISSISM_/status/1802219807301161150,1.80E+18,NA_RCISSISM_,NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam,Neutral
14,1.80E+18,Mon Jun 17 16:15:31 +0000 2024,124,My Photographer JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,en,2,0,90,https://x.com/01pdkj/status/1802736845408878625,1.41E+18,01pdkj,My Photographer JAEMIN 1ST PHOTO EXHIBITION,Neutral
15,1.80E+18,Mon Jun 17 13:35:30 +0000 2024,51,jaemin s heart emoji captions matching with the theme color of his photos,1.80E+18,en,0,0,6,https://x.com/njaeminlands/status/1802696576512720913,1.66E+18,njaeminlands,jaemin s heart emoji captions matching with the theme color of his photos,Positive
16,1.80E+18,Mon Jun 17 13:04:41 +0000 2024,2,ความสุขของแจมิน คือความสุขของพวกเรา ขอให้นิทรรศการงานแจมินออกมาอย่างดี ราบรื่น มีแต่คนเอ็นดู มีแต่คนรักคนชอบเยอะๆ นานะดุง นานะบารากิ ทุกคนอยู่กับแกน๊าา JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,th,0,0,3,https://x.com/NanaJMrabbit/status/1802688817658466650,1.43E+18,NanaJMrabbit,"Jaemin's happiness is our happiness I hope that the Jaemin exhibition comes out well, smoothly, and has people loving it. There are a lot of people who love and like Nana Dung, Nana Baraki, everyone is with you. JAEMIN 1ST PHOTO EXHIBITION",Positive
17,1.80E+18,Mon Jun 17 09:47:55 +0000 2024,0,JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,en,0,0,0,https://x.com/hamt00ri/status/1802639299344814312,1.29E+18,hamt00ri,JAEMIN 1ST PHOTO EXHIBITION,Neutral
18,1.80E+18,Mon Jun 17 13:06:13 +0000 2024,2,แกอยากไปไหน พวกเราไปด้วย ซัพพอร์ตแจมินทุกๆอย่างเลยนะ เดินไปด้วยกานน JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,th,0,0,3,https://x.com/NanaJMrabbit/status/1802689204054536679,1.43E+18,NanaJMrabbit,"Wherever you want to go, we go with you. We support Jaemin in everything. Walk with me JAEMIN 1ST PHOTO EXHIBITION",Positive
19,1.80E+18,Mon Jun 17 17:04:52 +0000 2024,64,the best person on earth our lovely boy na jaemin thank you for your hardwork and thank you for making everyone happy remember that we re so proud of you and you deserve to get a lot of love and happiness we love you so much na jaemin,1.80E+18,en,0,0,29,https://x.com/mikiwpo/status/1802749262746501393,8.59E+17,mikiwpo,the best person on earth our lovely boy na jaemin thank you for your hardwork and thank you for making everyone happy remember that we re so proud of you and you deserve to get a lot of love and happiness we love you so much na jaemin,Positive
20,1.80E+18,Thu Jun 13 05:58:34 +0000 2024,4396,NARCISSISM Photobook Preview It even have pictures Jaemin took back in 2019 in Indonesia,1.80E+18,en,176,7,1637,https://x.com/seimeizu/status/1801132032774586415,1503820092,seimeizu,NARCISSISM Photobook Preview It even have pictures Jaemin took back in 2019 in Indonesia,Positive
21,1.80E+18,Wed Jun 12 23:46:24 +0000 2024,1541,NARCISSISM Photobook Preview,1.80E+18,en,55,2,376,https://x.com/NCTDREAMCENTER/status/1801038374209511667,9.56E+17,NCTDREAMCENTER,NARCISSISM Photobook Preview,Neutral
22,1.80E+18,Wed Jun 12 11:36:06 +0000 2024,3047,Narcissism,1.80E+18,pt,16,1,867,https://x.com/hourlyjaeminn/status/1800854588779790698,1.55E+18,hourlyjaeminn,Narcissism,Neutral
23,1.80E+18,Wed Jun 12 16:26:24 +0000 2024,1329,i m so obsessed with narcissism color details one look and you ll know it s a JAEMIN brand,1.80E+18,en,24,0,421,https://x.com/woalsdoll/status/1800927642734194994,1.41E+18,woalsdoll,i m so obsessed with narcissism color details one look and you ll know it s a JAEMIN brand,Positive
24,1.80E+18,Thu Jun 13 06:19:02 +0000 2024,2922,captured in jaemin s photobook NARCISSISM,1.80E+18,en,44,0,700,https://x.com/LHCFEED/status/1801137184554336407,1.30E+18,LHCFEED,captured in jaemin s photobook NARCISSISM,Positive
25,1.80E+18,Tue Jun 11 11:20:34 +0000 2024,1662,can i follow other group just 1 month and i will go back to follow jaemin again show narcissism ig jaemin think he is ok to follow please follow him,1.80E+18,en,147,7,486,https://x.com/94ws_/status/1800488290656866373,306650229,94ws_,can i follow other group just 1 month and i will go back to follow jaemin again show narcissism ig jaemin think he is ok to follow please follow him,Positive
26,1.80E+18,Wed Jun 12 15:12:07 +0000 2024,239,PHOTO BY JAEMIN NCTDREAM NARCISSISM My youth filled with DREAM,1.80E+18,en,2,0,96,https://x.com/813summerdays/status/1800908949757333801,1.68E+18,813summerdays,PHOTO BY JAEMIN NCTDREAM NARCISSISM My youth filled with DREAM,Positive
27,1.80E+18,Thu Jun 13 06:06:22 +0000 2024,282,Narcissism,1.80E+18,pt,8,1,193,https://x.com/JellyNANA_/status/1801133996543443402,1.08E+18,JellyNANA_,Narcissism,Neutral
28,1.80E+18,Thu Jun 13 06:05:41 +0000 2024,332,MARK in NARCISSISM JAEMIN 1st PHOTO EXHIBITION,1.80E+18,en,13,0,41,https://x.com/mybelovesun/status/1801133824086278163,1.55E+18,mybelovesun,MARK in NARCISSISM JAEMIN 1st PHOTO EXHIBITION,Neutral
29,1.80E+18,Thu Jun 13 06:19:03 +0000 2024,662,from photograph by jaemin 2021 to narcissism photographer na jaemin 1st photo e hibition 2024,1.80E+18,en,15,1,321,https://x.com/thirteenna/status/1801137186378821632,2593867911,thirteenna,from photograph by jaemin 2021 to narcissism photographer na jaemin 1st photo exhibition 2024,Neutral
30,1.80E+18,Thu Jun 13 06:04:47 +0000 2024,291,HAECHAN in NARCISSISM JAEMIN 1st PHOTO EXHIBITION,1.80E+18,en,3,0,50,https://x.com/mybelovesun/status/1801133596788642047,1.55E+18,mybelovesun,HAECHAN in NARCISSISM JAEMIN 1st PHOTO EXHIBITION,Neutral
31,1.80E+18,Wed Jun 12 14:25:24 +0000 2024,6297,NARCISSISM It says Nana Magazine Issue Photo by Jaemin NCT DREAM My Youth filled with DREAM,1.80E+18,en,338,2,2963,https://x.com/seimeizu/status/1800897190887555215,1503820092,seimeizu,NARCISSISM It says Nana Magazine Issue Photo by Jaemin NCT DREAM My Youth filled with DREAM,Positive
32,1.80E+18,Tue Jun 11 20:55:57 +0000 2024,5,sorry i m incredibly late to this but i ve only now JUST realised it s literally NArcissism for NA jaemin with a play on it being jaemin s self centered view of his world through his camera,1.80E+18,en,0,1,0,https://x.com/withmork/status/1800633088407453850,8.33E+17,withmork,sorry i m incredibly late to this but i ve only now JUST realised it s literally NArcissism for NA jaemin with a play on it being jaemin s self centered view of his world through his camera,Positive
33,1.80E+18,Thu Jun 13 06:02:57 +0000 2024,753,NARCISSISM PHOTOGRAPHER NA JAEMIN 1st PHOTO EXHIBITION It s getting surreal,1.80E+18,en,25,8,357,https://x.com/seimeizu/status/1801133137101222330,1503820092,seimeizu,NARCISSISM PHOTOGRAPHER NA JAEMIN 1st PHOTO EXHIBITION It s getting surreal,Positive
34,1.80E+18,Thu Jun 13 06:04:27 +0000 2024,2837,NARCISSISM 1st PHOTO EXHIBITION COMING SOON Follow,1.80E+18,en,131,39,960,https://x.com/NCTDREAMCENTER/status/1801133511644160195,9.56E+17,NCTDREAMCENTER,NARCISSISM 1st PHOTO EXHIBITION COMING SOON Follow,Positive
35,1.80E+18,Thu Jun 13 06:13:27 +0000 2024,705,narcissism jaemin 1st photo e hibition first few pages of the preview featuring jeno by jaemin,1.80E+18,en,15,1,195,https://x.com/423folder/status/1801135778489340040,1.47E+18,423folder,narcissism jaemin 1st photo e hibition first few pages of the preview featuring jeno by jaemin,Positive
36,1.80E+18,Wed Jun 12 16:16:18 +0000 2024,0,ตื่นเต้น ตั้งตารอดูผลงานน้องแจมทุกวันนะคับ JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism,1.80E+18,th,0,0,5,https://x.com/pi_jeno/status/1800925102294614146,1.51E+18,pi_jeno,"Excited, looking forward to seeing Nong Jam's work every day. JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism",Positive
37,1.80E+18,Wed Jun 12 14:53:46 +0000 2024,224,chenle alr appearing thrice in jaemin s narcissism silers what a winner,1.80E+18,en,4,0,43,https://x.com/aijiyw/status/1800904330956120127,977529037,aijiyw,chenle alr appearing thrice in jaemin s narcissism silers what a winner,Positive
38,1.80E+18,Wed Jun 12 14:40:38 +0000 2024,24,240612 재민이 전시회 인스타 Jaemin s photo e hibition insta narcissism0813 Narcissism My youth filled with DREAM,1.80E+18,ko,3,0,10,https://x.com/itsnotkinkin/status/1800901027711123875,725516288,itsnotkinkin,240612 Jaemin’s exhibition Instagram Jaemin’s photo e hibition insta narcissism0813 Narcissism My youth filled with DREAM,Neutral
39,1.80E+18,Thu Jun 13 06:08:04 +0000 2024,3,jeno on jaemin s narcissism photobook,1.80E+18,en,0,0,0,https://x.com/chooingum/status/1801134423301316698,1.30E+18,chooingum,jeno on jaemin s narcissism photobook,Positive
40,1.80E+18,Tue Jun 11 10:18:38 +0000 2024,5190,Susunan Kepanitian Jaemin E hibition Ketuplak Na Jaemin Sekretaris Na Jaemin Bendahara Na Jaemin Seksi Acara Na Jaemin Seksi Publikasi dan Dokumentasi Na Jaemin Seksi Humas Na Jaemin Seksi Perlengkapan Na Jaemin All Na Jaemin,1.80E+18,in,109,107,1372,https://x.com/mybiasisjnjm/status/1800472705088782416,1.56E+18,mybiasisjnjm,Composition of the Committee Jaemin E hibition Chairman Na Jaemin Secretary Na Jaemin Treasurer Na Jaemin Event Section Na Jaemin Publication and Documentation Section Na Jaemin Public Relations Section Na Jaemin Equipment Section Na Jaemin All Na Jaemin,Positive
41,1.80E+18,Tue Jun 11 02:39:28 +0000 2024,479,from nana s joyful day to narcissism proud overjoyed e cited for jaemin,1.80E+18,en,0,0,131,https://x.com/darIingnana/status/1800357149312524420,2479815091,darIingnana,from nana s joyful day to narcissism proud overjoyed e cited for jaemin,Positive
42,1.80E+18,Tue Jun 11 09:24:54 +0000 2024,1428,240611 narcissism Instagram,1.80E+18,pt,17,2,450,https://x.com/NCTDREAMCENTER/status/1800459181524431291,9.56E+17,NCTDREAMCENTER,240611 narcissism Instagram,Neutral
43,1.80E+18,Tue Jun 11 09:37:23 +0000 2024,17,narcissism0813 update,1.80E+18,en,0,1,6,https://x.com/my_jaems/status/1800462323469123809,1.61E+18,my_jaems,narcissism0813 update,Neutral
44,1.80E+18,Tue Jun 11 05:31:54 +0000 2024,4,Jaemin photo e hibition free promo hehe the only Narcissism I accept SM is just pure narcissist,1.80E+18,en,0,0,0,https://x.com/Lyoonhan/status/1800400544848380281,264806114,Lyoonhan,Jaemin photo e hibition free promo hehe the only Narcissism I accept SM is just pure narcissist,Positive
45,1.80E+18,Tue Jun 11 00:50:03 +0000 2024,0,나르시시즘 Narcissism,1.80E+18,ko,0,0,0,https://x.com/jaempaaw/status/1800329617519358238,1.57E+18,jaempaaw,Narcissism,Neutral
46,1.80E+18,Tue Jun 11 10:53:26 +0000 2024,0,␥ 240611 narcissism0813 instagram st,1.80E+18,en,0,0,0,https://x.com/njmfaleo/status/1800481461746946126,1.40E+18,njmfaleo,␥ 240611 narcissism0813 instagram st,Neutral
47,1.80E+18,Tue Jun 11 09:21:09 +0000 2024,0,for jaemin JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism,1.80E+18,ko,0,0,0,https://x.com/anasiriustar/status/1800458237617250556,1.47E+18,anasiriustar,for jaemin JAEMIN EXHIBITION COMING SOON Narcissism,Positive
48,1.80E+18,Tue Jun 11 02:31:19 +0000 2024,0,JAEMINI LOVE JAEMIN EXHIBITION COMING SOON,1.80E+18,en,0,0,1,https://x.com/tiwayartoxo/status/1800355098205585579,1.37E+18,tiwayartoxo,JAEMINI LOVE JAEMIN EXHIBITION COMING SOON,Positive
49,1.80E+18,Tue Jun 11 09:23:04 +0000 2024,2,240611 Jaemin Narcissism IG update,1.80E+18,en,1,0,0,https://x.com/_dearbunny_/status/1800458721434439898,1.26E+18,_dearbunny_,240611 Jaemin Narcissism IG update,Neutral
50,1.80E+18,Tue Jun 11 09:12:38 +0000 2024,0,คุณตากล้องคนเก่งมาสปอยงานแล้วว ขอให้งานนิทรรศการแจมินราบรื่น มีแต่คนชอบคนชม ออกมาปังๆๆ เลิศๆๆ JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism,1.80E+18,th,0,0,1,https://x.com/NanaJMrabbit/status/1800456096085332324,1.43E+18,NanaJMrabbit,"You, a talented cameraman, have come to spoil the event. May the Jaemin exhibition go smoothly. There are only people who like it and people who watch it come out great, great, great. JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism",Positive
51,1.80E+18,Tue Jun 11 09:16:26 +0000 2024,1,น้องสร้างสตอรี่ด้วยย แจมินเก่งมากกค้า JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism,1.80E+18,th,0,0,5,https://x.com/NanaJMrabbit/status/1800457049622577459,1.43E+18,NanaJMrabbit,You create stories too. Jaemin is very talented. JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism,Positive
52,1.80E+18,Tue Jun 11 08:26:29 +0000 2024,1,Hello,1.80E+18,en,0,0,0,https://x.com/nanasbunnies/status/1800444481541427406,1.68E+18,nanasbunnies,Hello,Neutral
53,1.80E+18,Tue Jun 11 09:18:37 +0000 2024,0,this genre of na jaemin OH WE LOVE U NARCISSISM,1.80E+18,en,0,0,0,https://x.com/augustmarkie/status/1800457599374311793,1.75E+18,augustmarkie,this genre of na jaemin OH WE LOVE U NARCISSISM,Positive
54,1.80E+18,Tue Jun 11 00:08:48 +0000 2024,0,ลืมมเซตนี้เลย si flags ตอนโน่เปิดไอจี แจมเอากล้องไปเมกา ตอนนั้น kconไหม จำบ่ได้ แต่แสงสวยด้ววย รอชมเลย JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism,1.80E+18,th,0,0,0,https://x.com/NanaJMrabbit/status/1800319233915801611,1.43E+18,NanaJMrabbit,"Forget about this set si flags when I open IG. Jam took the camera to America. Was it Kcon at that time? I don't remember, but the light was beautiful too. Wait to see. JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism",Positive
55,1.80E+18,Tue Jun 11 10:10:29 +0000 2024,4,WAYV FIRST WIN,1.80E+18,en,0,0,0,https://x.com/nanasbunnies/status/1800470651503022415,1.68E+18,nanasbunnies,WAYV FIRST WIN,Positive
56,1.80E+18,Tue Jun 11 01:43:27 +0000 2024,12,good morning im still giddy and smiling from narcissism announcement ˙ ° ༘ so very proud of artist jaemin my baby okie princess kitty 재민이의 시선 나르시시즘 JAEMIN EXHIBITION COMING SOON,1.80E+18,en,0,0,2,https://x.com/theshims/status/1800343052080582998,183792283,theshims,good morning im still giddy and smiling from narcissism announcement ˙ ° ༘ so very proud of artist jaemin my baby okie princess kitty 재민이의 시선 나르시시즘 JAEMIN EXHIBITION COMING SOON,Positive
57,1.80E+18,Tue Jun 11 04:56:40 +0000 2024,0,jaemin,1.80E+18,hi,0,1,0,https://x.com/hamt00ri/status/1800391676588130759,1.29E+18,hamt00ri,jaemin,Neutral
58,1.80E+18,Tue Jun 11 00:56:01 +0000 2024,0,so proud of u babe cowoku keren banget good luck baby JAEMIN EXHIBITION COMING SOON,1.80E+18,en,0,0,0,https://x.com/narcissism_nana/status/1800331117322723356,1.37E+18,narcissism_nana,so proud of u babe cowoku keren banget good luck baby JAEMIN EXHIBITION COMING SOON,Positive
59,1.80E+18,Tue Jun 11 09:19:15 +0000 2024,0,thinking rela peace beautiful face jump NARCISSISM jaemin,1.80E+18,en,0,1,0,https://x.com/aijiyw/status/1800457757877006553,977529037,aijiyw,thinking rela peace beautiful face jump NARCISSISM jaemin,Positive
60,1.80E+18,Tue Jun 11 00:06:22 +0000 2024,1,JAEMIN EXHIBITION COMING SOON 나르시시즘 Narcissism by JAEMIN,1.80E+18,ko,0,0,0,https://x.com/chocoarchives/status/1800318622331793599,1.74E+18,chocoarchives,JAEMIN EXHIBITION COMING SOON Narcissism by JAEMIN,Positive
61,1.80E+18,Wed Jun 19 04:01:00 +0000 2024,18426,NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam,1.80E+18,en,250,500,12580,https://x.com/NA_RCISSISM_/status/1803276771552604308,1.80E+18,NA_RCISSISM_,NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam,Neutral
62,1.80E+18,Wed Jun 19 06:00:07 +0000 2024,16355,NARCISSISM JAEMIN 1st PHOTO EXHIBITION VISITOR GUIDE NOTICE 장소 서울시 용산구 대사관로 34 S Hannam 운영 기간 2024 06 29 토 2024 07 19 금 운영 시간 매일 10 00 19 00 [KST] 티켓 예매 무신사 YES24 GLOBAL TICKET NARCISSISM 관련 다양한,1.80E+18,ko,1666,223,9913,https://x.com/NCTsmtown/status/1803306749715521602,4811011050,NCTsmtown,"NARCISSISM JAEMIN 1st PHOTO EXHIBITION VISITOR GUIDE NOTICE Location 34 S Hannam, Embassy-ro, Yongsan-gu, Seoul Operating Period 2024 06 29 Sat 2024 07 19 Fri Operating Hours Daily 10 00 19 00 [KST] Ticket Reservation Musinsa YES24 GLOBAL TICKET Various related to NARCISSISM",Neutral
63,1.80E+18,Wed Jun 19 06:07:47 +0000 2024,465,NARCISSISM JAEMIN 1st EXHIBITION 작가 재민 이 대중에 처음으로 선보이는 사진전 이번 전시는 2018년 부터 지난 7년동안 본인의 시선으로 바라보고 기록한 주변과 나 자신 을 이야기 하고자 하며 그만의 독창적인 감성을 프레임에 담아 함께 공감할 수 있는 특별한 공간으로,1.80E+18,ko,15,0,327,https://x.com/jamong1323/status/1803308678453575925,1.42E+18,jamong1323,"NARCISSISM JAEMIN 1st EXHIBITION This exhibition is the first photo exhibition presented to the public by artist Jaemin. This exhibition aims to talk about the surroundings and myself that he has seen and recorded through his own eyes for the past 7 years since 2018, and puts his unique sensibility into the frame to create a photo exhibition that everyone can relate to. to a special space",Positive
64,1.80E+18,Wed Jun 19 06:00:00 +0000 2024,10259,NARCISSISM JAEMIN 1st PHOTO EXHIBITION VISITOR GUIDE NOTICE 장소 서울시 용산구 대사관로 34 S Hannam 운영 기간 2024 06 29 토 2024 07 19 금 운영 시간 매일 10 00 19 00 [KST] 티켓 예매 무신사 YES24 GLOBAL TICKET,1.80E+18,ko,1548,344,8408,https://x.com/NA_RCISSISM_/status/1803306720103674239,1.80E+18,NA_RCISSISM_,"NARCISSISM JAEMIN 1st PHOTO EXHIBITION VISITOR GUIDE NOTICE Location 34 S Hannam, Embassy-ro, Yongsan-gu, Seoul Operating Period 2024 06 29 Sat 2024 07 19 Fri Operating Hours Daily 10 00 19 00 [KST] Ticket Reservation Musinsa YES24 GLOBAL TICKET",Neutral
65,1.80E+18,Wed Jun 19 15:57:47 +0000 2024,590,Yakin banget e hibitionnya Jaemin bakal sukses besar JAEMIN 1ST PHOTO EXHIBITION We love you and we suprt you Jaemin Our Jaemin fighting,1.80E+18,en,0,66,137,https://x.com/duapuIuhtiga/status/1803457155892433191,1.45E+18,duapuIuhtiga,I'm really sure that Jaemin's exhibition will be a big success JAEMIN 1ST PHOTO EXHIBITION We love you and we support you Jaemin Our Jaemin fighting,Positive
67,1.80E+18,Wed Jun 19 23:08:28 +0000 2024,2,GENTE,1.80E+18,pt,0,1,0,https://x.com/jaemsbambi/status/1803565541241622638,1.75E+18,jaemsbambi,PEOPLE,Neutral
68,1.80E+18,Wed Jun 19 16:14:13 +0000 2024,470,jisung said the members have e plored jaemin s photo e hibition in advance what s for sure is you ll like it a lot there are really a lot of great photos should i say it brings back old memories as if flipping through a photo album it was fun,1.80E+18,en,4,1,123,https://x.com/jjarchiv/status/1803461293418086506,8.46E+17,jjarchiv,jisung said the members have e plored jaemin s photo e hibition in advance what s for sure is you ll like it a lot there are really a lot of great photos should i say it brings back old memories as if flipping through a photo album it was fun,Positive
69,1.80E+18,Wed Jun 19 16:09:34 +0000 2024,0,We love you and we suprt you Jaemin Our Jaemin fighting,1.80E+18,en,0,0,0,https://x.com/nanaaaily/status/1803460123186384942,1.15E+18,nanaaaily,We love you and we support you Jaemin Our Jaemin fighting,Positive
70,1.80E+18,Wed Jun 19 14:20:31 +0000 2024,33,ผิงเปิดพรี หิ้ว MD นิทรรศการ​ตากล้องนาแจมินนะคะ NARCISSISM JAEMIN 1st PHOTO EXHIBITION รอบหิ้ว ส่งเรือ แอร์ ราคาแรงกว่านะคะ หิ้วไม่ครบ คืนเงินค่ะ รอบพรี ส่งเรือ ราคาถูกลงนะคะ กดให้ทุกๆๆ รอบสั่ง,1.80E+18,th,0,0,19,https://x.com/nu121727/status/1803432677552627877,1.49E+18,nu121727,"Ping opens the pre-order to carry the MD Exhibition of photographer Na Jae Min. NARCISSISM JAEMIN 1st PHOTO EXHIBITION. The carrying round, send by air boat, the price is more expensive. If you don't carry all the items, refund the money. The pre-order round, send by boat, the price is cheaper. Press for everyone. Order round",Neutral
71,1.80E+18,Wed Jun 19 16:05:58 +0000 2024,0,Ini klo ak peluk dari belakang ada yg marah ga Terus pukpuk kepalanya karna dia bekerja keras bgt lancar lancar buat e hibitionnya sayangku JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,in,0,0,0,https://x.com/nayangietokki/status/1803459215140462814,2947678586,nayangietokki,"This is when I hug you from behind, will anyone get angry? Continue to pat his head because he works really hard and smoothly for his e hibition my dear JAEMIN 1ST PHOTO EXHIBITION",Positive
72,1.80E+18,Wed Jun 19 21:24:10 +0000 2024,0,JAEMIN 1ST PHOTO EXHIBITION We love you and we suprt you Jaemin Our Jaemin fighting,1.80E+18,en,0,0,0,https://x.com/llsftt/status/1803539295346761793,1.25E+18,llsftt,JAEMIN 1ST PHOTO EXHIBITION We love you and we support you Jaemin Our Jaemin fighting,Positive
73,1.80E+18,Wed Jun 19 19:32:42 +0000 2024,0,‍⬛ JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,en,0,2,1,https://x.com/jellydinos/status/1803511242541375835,8.76E+17,jellydinos,‍⬛ JAEMIN 1ST PHOTO EXHIBITION,Neutral
